location,lats,longs
تهران،تهران،جاده فومن,51.204996358752865,36.18184615829716
تهران،تهران،کاشانی,51.5209833,35.7472618
البرز،کرج،مارلیک(کرج),50.921670557499496,35.847875347109586
تهران،تهران،حصارک(کرج),50.921670557499496,35.847875347109586
تهران،تهران،سینما سعدی,51.4236245984226,35.69418921744024
البرز،کرج،درختی(کرج),50.9389269,35.8183548
تهران،تهران،قاضی آباد (منطقه7),51.64640498197529,35.824603757334
تهران،تهران،گرمدره(کرج),51.0590897,35.7573867
تهران،تهران،فلسطین  -  انقلاب,51.398143,35.6984557
البرز،کرج،ماهدشت(کرج),50.84997227958392,35.740678599999995
تهران،تهران،هفت تیر(کرج),51.426103380401116,35.715925153669964
تهران،تهران،شوش,51.4142116,35.6572974
تهران،تهران،همایونشهر,51.3551782,35.7157081
تهران،تهران،سایر مناطق (خارج شهر),51.427315738811494,35.71817255233525
تهران،تهران،ساسانی(کرج),50.995823181974394,35.79509533583429
البرز،کرج،مبارک آباد,51.422105328492904,35.80241715
تهران،تهران،باغ فردوس,51.47683591428353,35.76569862572035
تهران،تهران،بلوارحمزه,51.32143544053123,35.76662876034512
تهران،تهران،کلاکسر,51.57755741290277,35.968711398045855
تهران،تهران،آذربایجان,51.3979422,35.6917364
البرز،کرج،اسلام آباد(کرج),51.01313256096073,35.82785555
البرز،کرج،صادقیه,51.33532404602588,35.7227668590673
تهران،تهران،شکوفه,51.4490001,35.6844683
البرز،کرج،سعادت آباد,51.375546293802664,35.786747191987416
البرز،کرج،هفت تیر(کرج),50.99940789568561,35.79766995
تهران،تهران،مالک اشتر,51.3705615,35.6862944
تهران،تهران،اتوبان صدر,51.45568198197439,35.7910636353509
تهران،تهران،قلعه حسن خان,51.1100769,35.7204271
تهران،تهران،حکیمیه,51.5788013,35.7447946
تهران،تهران،کشاورز غربی,51.402555,35.7161582
تهران،تهران،زعفرانیه,51.4163789,35.8076813
تهران،تهران،آخر آسفالت,51.43800095498556,35.73062553012032
تهران،تهران،اتوبان بابایی,51.55226384149332,35.771673268034114
تهران،تهران،شهرک پرواز,51.3070824,35.7264743
تهران،تهران،شهرک اوج(کرج),50.994126939646854,35.847509032145844
تهران،تهران،شهرآرا,51.3726538,35.7206933
تهران،تهران،میرداماد,51.4339605,35.7601006
تهران،تهران،امام رضا,51.2467679,35.7372634
تهران،تهران،قیام,51.4411377,35.6699777
تهران،تهران،شهرک ولیعصر,51.6229295,35.3619006
البرز،کرج،شهر جدید اندیشه(کرج),51.020625179040486,35.7109326273699
تهران،تهران،میدان حر,51.3883603,35.6908759
تهران،تهران،خاوران,51.452874,35.6651028
البرز،کرج،مهرویلا(کرج),50.9647052,35.8151513
تهران،تهران،معلم,51.2873659,35.6482067
تهران،تهران،خیابان کارگر جنوبی,51.3936222,35.6824571
تهران،تهران،شهرری,51.4222354,35.5949936
تهران،تهران،سیدخندان,51.443004,35.7470497
تهران،تهران،چیتگر,51.2438647,35.7169564
تهران،تهران،امامزاده قاسم,51.435367228373664,35.81696625
تهران،تهران،آتشگاه,50.99150769801472,35.918909905308674
البرز،کرج،فاطمی,50.9947252,35.8190259
تهران،تهران،شهرک وحدت(کرج),51.0343695,35.7264131
تهران،تهران،محمد شهر(کرج),50.934096509603464,35.7776006
تهران،تهران،اتوبان همت,51.35039269731522,35.751182565627616
تهران،تهران،آبشار,51.2274338,35.7613561
تهران،تهران،شریعتی,51.3555671,35.6819614
تهران،تهران،کیانشهر,51.448642,35.6330387
تهران،تهران،شهرک صنعتی شریف,51.76793952105444,35.43678085
تهران،تهران،شهرک شریعتی,51.3682275,35.6439475
تهران،تهران،ویلا,51.3656641,35.7227387
تهران،تهران،کارگر شمالی,51.3888362,35.7246662
تهران،تهران،کاج,51.4417197,35.7138728
تهران،تهران،شهرک شهید باقری,51.2005506,35.7610799
تهران،تهران،کمالشهر(کرج),50.9372662,35.8160722
تهران،تهران،شیخ بهایی,51.3972162,35.7467205
تهران،تهران،گلشهر(کرج),50.9551491,35.8155652
تهران،تهران،17 شهریور,51.3700953,35.7113504
البرز،کرج،اتوبان تهران کرج,51.0801833,35.7507798
تهران،تهران،دانشگاه نوشیروانی,51.400377439642526,35.694570033146924
البرز،کرج،میدان ولیعصر,50.85639685071392,35.7788219
البرز،کرج،حصارک(کرج),50.9260618,35.8379938
تهران،تهران،همت غرب,51.3334021569601,35.752620972428886
تهران،تهران،جماران,51.4583088,35.8198534
تهران،تهران،پل شهرستان,51.37229777669392,35.7433161
تهران،تهران،باغستان(کرج),50.955891963185564,35.8795940801524
تهران،تهران،کیانپارس غربی,51.418763754985534,35.7267305055892
تهران،تهران،سردار جنگل,51.2095256,35.5005695
تهران،تهران،چمران,51.5633774,35.7427974
تهران،تهران،نصرت,51.3891609,35.7054663
البرز،کرج،الهیه,50.9348751,35.7685512
البرز،کرج،امامزاده ابراهیم,51.1220197,36.0470447
تهران،تهران،دروازه شمیران,51.4372976,35.699035
تهران،تهران،سهروردی,51.4367691,35.7311282
تهران،تهران،صفری,51.3385784,35.668181
تهران،تهران،بلوار پروین,51.5413288,35.739787
تهران،تهران،کوی کارمندان جنوبی(کرج),50.96963158231547,35.824424408384466
تهران،تهران،خانه اصفهان,51.6714119,32.625205
البرز،کرج،ساسانی(کرج),50.99587682615184,35.795112740447934
البرز،کرج،سایر- کرج,50.96189578745699,35.82655085787774
تهران،تهران،معالی آباد,51.3495273938749,35.66464231406775
تهران،تهران،پاتریس لومومبا,51.3743104,35.7203979
تهران،تهران،وزرا,51.4132446,35.735024
تهران،تهران،خیابان بوسنی هرزگوین,51.42225749731632,35.792602850201376
تهران،تهران،کن,51.278186,35.7589352
تهران،تهران،امامزاده حسن,51.359598537661356,35.6642978
تهران،تهران،چاکسر,52.2261506611618,35.649148190957334
تهران،تهران،حرم‌مطهر,51.36646688196757,35.54934639659745
تهران،تهران،جردن,51.4147134,35.7552834
تهران،تهران،وردآورد,51.1506325,35.7438259
البرز،کرج،کلاک(کرج),51.0397389,35.7895705
تهران،تهران،شهرک آزادی,51.2737387,35.7115332
تهران،تهران،پرند,50.9469189,35.477882
تهران،تهران،میدان راه آهن,51.3979927,35.6592858
تهران،تهران،جاده تهران,51.0720736,35.4760691
البرز،کرج،منظریه(کرج),51.00816961080885,35.756259870797535
تهران،تهران،ناژوان,51.543997741492575,35.74712264068509
البرز،کرج،هشتگرد,50.9257952,35.8290158
